Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgCWDLimit,AvgSoilMoistureMult,AvgDryDaysMult,AvgProbEst,DryDays,BeginGDD,EndGDD,AvgCWD,
30, PseuMenz, 1, 2, 0.98, 1, 1, 1, 0, 0, 145, 125, 271, 53.1, 
30, PseuMenz, 2, 1, 0.99, 1, 1, 1, 0, 0, 157, 110, 268, 60.54, 
30, PseuMenz, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, PseuMenz, 4, 1, 0.61, 1, 1, 1, 0, 0, 115, 145, 260, 29.46, 
30, QuerGamb, 1, 5, 0.99, 1, 1, 1, 0, 0, 156.6, 113.4, 270.6, 56.36, 
30, QuerGamb, 2, 1, 0.96, 1, 1, 1, 0, 0, 142, 126, 269, 58.04, 
30, QuerGamb, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, QuerGamb, 4, 1, 0.37, 0, 1, 1, 0, 0, 115, 145, 260, 30.07, 
40, AbieConc, 1, 24, 0.54, 1, 1, 1, 0.08, 0.02, 163.21, 101.25, 271.92, 53.77, 
40, AbieConc, 2, 18, 0.63, 1, 1, 1, 0, 0, 176.78, 101.17, 279, 55.74, 
40, AbieConc, 3, 10, 0.71, 1, 1, 1, 0, 0, 175.4, 100.2, 277, 49.56, 
40, AbieConc, 4, 5, 0.83, 1, 1, 1, 0, 0, 120.8, 136, 258.2, 29.29, 
40, AbieLasi, 1, 39, 0.53, 1, 1, 1, 0.07, 0.01, 163.85, 100.21, 270.87, 53.7, 
40, AbieLasi, 2, 18, 0.64, 1, 1, 1, 0.02, 0, 172.22, 101.17, 276, 58.36, 
40, AbieLasi, 3, 8, 0.74, 1, 1, 1, 0, 0, 173.13, 106.5, 280.13, 51.33, 
40, AbieLasi, 4, 5, 0.85, 1, 1, 1, 0, 0, 121.8, 135, 256.8, 30.34, 
40, JuniOste, 1, 17, 0.96, 1, 1, 1, 0, 0, 164.82, 100.94, 270.47, 54.71, 
40, JuniOste, 2, 3, 0.96, 1, 1, 1, 0, 0, 175.67, 101, 277, 61.24, 
40, JuniOste, 3, 6, 0.99, 1, 1, 1, 0, 0, 183.67, 95.5, 279.33, 46.59, 
40, JuniOste, 4, 2, 0.78, 1, 1, 1, 0, 0, 122, 135.5, 257.5, 28.95, 
40, PiceEnge, 1, 49, 0, 1, 1, 1, 0, 0, 165.92, 99.82, 271.61, 51.93, 
40, PiceEnge, 2, 29, 0, 1, 1, 1, 0, 0, 173.76, 102.38, 276.55, 59.82, 
40, PiceEnge, 3, 8, 0, 1, 1, 1, 0, 0, 175.13, 102.75, 278.13, 51.43, 
40, PiceEnge, 4, 13, 0.97, 1, 1, 1, 0, 0, 118.77, 136.23, 256.08, 28.48, 
40, PicePung, 1, 61, 0, 1, 1, 1, 0, 0, 163.38, 101.59, 271, 52.56, 
40, PicePung, 2, 27, 0, 1, 1, 1, 0, 0, 169.74, 105.44, 277.04, 58.09, 
40, PicePung, 3, 9, 0, 1, 1, 1, 0, 0, 173.44, 104.89, 278.67, 53.74, 
40, PicePung, 4, 7, 0.99, 1, 1, 1, 0, 0, 121.43, 138.14, 259.71, 32.69, 
40, PinuPond, 1, 21, 0.98, 1, 1, 1, 0.08, 0.02, 163.48, 99.95, 272.14, 51.66, 
40, PinuPond, 2, 5, 0.99, 1, 1, 1, 0, 0, 176.8, 101.4, 278.6, 55.66, 
40, PinuPond, 3, 3, 1, 1, 1, 1, 0, 0, 161.33, 114, 275.67, 50.46, 
40, PinuPond, 4, 2, 0.78, 1, 1, 1, 0, 0, 122, 135.5, 257.5, 33.66, 
40, PinuEdul, 1, 22, 0.99, 1, 1, 1, 0.06, 0.01, 164.18, 99.91, 271.55, 54.29, 
40, PinuEdul, 2, 12, 1, 1, 1, 1, 0.06, 0.01, 168.58, 102.42, 279, 51.6, 
40, PinuEdul, 3, 3, 1, 1, 1, 1, 0, 0, 177, 108, 286, 56.23, 
40, PinuEdul, 4, 3, 0.69, 1, 1, 1, 0, 0, 121.67, 134.67, 256.33, 39.68, 
40, PopuTrem, 1, 32, 0.79, 1, 1, 1, 0, 0, 164.75, 98.47, 271.22, 51.01, 
40, PopuTrem, 2, 22, 0.86, 1, 1, 1, 0.02, 0, 170.95, 100.64, 277.73, 54.01, 
40, PopuTrem, 3, 13, 0.9, 1, 1, 1, 0, 0, 181.77, 97.62, 280.46, 54.71, 
40, PopuTrem, 4, 5, 0.73, 1, 1, 1, 0, 0, 117.2, 139.4, 256.6, 27.75, 
40, PseuMenz, 1, 7, 0.99, 1, 1, 1, 0, 0, 163.14, 99.29, 270.71, 52.44, 
40, PseuMenz, 2, 12, 0.99, 1, 1, 1, 0, 0, 177.58, 102.17, 280.25, 59.83, 
40, PseuMenz, 3, 4, 0.97, 1, 1, 1, 0, 0, 181, 100.5, 282, 49.15, 
40, PseuMenz, 4, 3, 0.65, 1, 1, 1, 0, 0, 121.67, 134.67, 256.33, 39.56, 
40, QuerGamb, 1, 17, 1, 1, 1, 1, 0, 0, 170.24, 101.12, 271.82, 56.92, 
40, QuerGamb, 2, 5, 0.99, 1, 1, 1, 0, 0, 175.6, 101.4, 278.6, 52.29, 
40, QuerGamb, 3, 4, 0.99, 1, 1, 1, 0, 0, 185, 93, 278, 57.22, 
40, QuerGamb, 4, 4, 0.42, 1, 1, 1, 0, 0, 122, 135.5, 257.5, 33.06, 
50, AbieConc, 1, 31, 0.27, 1, 1, 1, 0.01, 0, 177.61, 95.84, 274.71, 60.89, 
50, AbieConc, 2, 40, 0.44, 1, 1, 1, 0.01, 0, 157.8, 106, 266, 60.55, 
50, AbieConc, 3, 13, 0.42, 1, 1, 1, 0, 0, 173, 103, 276, 59.79, 
50, AbieConc, 4, 9, 0.98, 1, 1, 1, 0, 0, 121, 127, 248, 44.62, 
50, AbieLasi, 1, 83, 0.25, 1, 1, 1, 0.01, 0, 176.88, 96.06, 275.34, 60.5, 
50, AbieLasi, 2, 69, 0.44, 1, 1, 1, 0.01, 0, 158.36, 105.9, 265.91, 60.87, 
50, AbieLasi, 3, 16, 0.42, 1, 1, 1, 0.02, 0, 171, 103, 276, 58.63, 
50, AbieLasi, 4, 12, 0.98, 1, 1, 1, 0, 0, 121, 127, 248, 44.52, 
50, JuniOste, 1, 13, 0.89, 1, 1, 1, 0, 0, 179.85, 97, 278, 63.12, 
50, JuniOste, 2, 16, 0.95, 1, 1, 1, 0, 0, 159, 106, 266, 61.98, 
50, JuniOste, 3, 10, 0.94, 1, 1, 1, 0, 0, 173, 103, 276, 59.1, 
50, JuniOste, 4, 6, 0.9, 1, 1, 1, 0, 0, 121, 127, 248, 46.61, 
50, PiceEnge, 1, 90, 0, 1, 1, 1, 0, 0, 177.63, 96.4, 276.3, 61.44, 
50, PiceEnge, 2, 94, 0, 1, 1, 1, 0, 0, 158.34, 105.63, 265.68, 60.85, 
50, PiceEnge, 3, 35, 0, 1, 1, 1, 0, 0, 171.71, 103, 276, 58.93, 
50, PiceEnge, 4, 19, 0.82, 1, 1, 1, 0, 0, 121, 127, 248, 45.08, 
50, PicePung, 1, 99, 0, 1, 1, 1, 0, 0, 177.74, 96.33, 276.11, 61.13, 
50, PicePung, 2, 82, 0, 1, 1, 1, 0, 0, 158.46, 105.91, 265.93, 60.96, 
50, PicePung, 3, 28, 0, 1, 1, 1, 0, 0, 170.86, 103, 276, 58.88, 
50, PicePung, 4, 15, 0.82, 1, 1, 1, 0, 0, 121, 127, 248, 44.73, 
50, PinuPond, 1, 26, 0.94, 1, 1, 1, 0.01, 0, 178.12, 96.31, 276.04, 61.78, 
50, PinuPond, 2, 26, 0.97, 1, 1, 1, 0.01, 0, 158.15, 105.73, 265.77, 60.59, 
50, PinuPond, 3, 9, 0.97, 1, 1, 1, 0, 0, 173, 103, 276, 59.33, 
50, PinuPond, 4, 7, 0.89, 1, 1, 1, 0, 0, 121, 127, 248, 45.25, 
50, PinuEdul, 1, 27, 0.96, 1, 1, 1, 0, 0, 177.63, 96.11, 275.48, 60.82, 
50, PinuEdul, 2, 24, 0.99, 1, 1, 1, 0, 0, 157.58, 105.71, 265.75, 60.08, 
50, PinuEdul, 3, 5, 0.99, 1, 1, 1, 0, 0, 169.8, 103, 276, 58.07, 
50, PinuEdul, 4, 6, 0.82, 1, 1, 1, 0, 0, 121, 127, 248, 46.23, 
50, PopuTrem, 1, 73, 0.6, 1, 1, 1, 0, 0, 178.64, 96.59, 276.84, 62.09, 
50, PopuTrem, 2, 36, 0.75, 1, 1, 1, 0, 0, 157.72, 105.81, 265.83, 60.42, 
50, PopuTrem, 3, 12, 0.74, 1, 1, 1, 0, 0, 170.33, 103, 276, 58.73, 
50, PopuTrem, 4, 11, 0.91, 1, 1, 1, 0, 0, 121, 127, 248, 44.9, 
50, PseuMenz, 1, 45, 1, 1, 1, 1, 0, 0, 175.93, 96.07, 275.36, 60.38, 
50, PseuMenz, 2, 25, 1, 1, 1, 1, 0, 0, 158.6, 105.72, 265.76, 61.38, 
50, PseuMenz, 3, 9, 1, 1, 1, 1, 0, 0, 173, 103, 276, 58.22, 
50, PseuMenz, 4, 6, 0.76, 1, 1, 1, 0, 0, 121, 127, 248, 45.25, 
50, QuerGamb, 1, 35, 0.99, 1, 1, 1, 0, 0, 177.91, 96.49, 276.54, 61.45, 
50, QuerGamb, 2, 36, 1, 1, 1, 1, 0, 0, 158, 106, 266, 61.15, 
50, QuerGamb, 3, 11, 1, 1, 1, 1, 0, 0, 171.55, 103, 276, 57.53, 
50, QuerGamb, 4, 3, 0.64, 1, 1, 1, 0, 0, 121, 127, 248, 44.45, 
